"","GC=F.Open","GC=F.High","GC=F.Low","GC=F.Close","GC=F.Volume","GC=F.Adjusted"
"2011-03-01",1415.300049,1434.400024,1415.300049,1430.699951,116,1430.699951
"2011-03-02",1432.5,1440.5,1428.800049,1437.199951,1600,1437.199951
"2011-03-03",1432.300049,1432.300049,1415.900024,1416,244,1416
"2011-03-04",1418.900024,1429.800049,1416.800049,1428.199951,60,1428.199951
"2011-03-07",1434.5,1445,1429.5,1434.099976,613,1434.099976
"2011-03-08",1431.599976,1432.599976,1424.300049,1426.900024,198,1426.900024
"2011-03-09",1430,1435.699951,1426.099976,1429.300049,98,1429.300049
"2011-03-10",1429.5,1429.800049,1403.800049,1412.199951,23,1412.199951
"2011-03-11",1413.699951,1422.599976,1404.900024,1421.5,23,1421.5
"2011-03-14",1420,1427.699951,1420,1424.599976,58,1424.599976
"2011-03-15",1413.300049,1413.300049,1385.5,1392.599976,20,1392.599976
"2011-03-16",1398,1404.199951,1394.300049,1396,38,1396
"2011-03-17",1387.699951,1393.599976,1387.699951,1404,27,1404
"2011-03-18",1406.400024,1419.300049,1406.400024,1415.900024,6,1415.900024
"2011-03-21",1433.5,1433.5,1430.800049,1426.199951,43,1426.199951
"2011-03-22",1430.400024,1430.400024,1430.400024,1427.5,85,1427.5
"2011-03-23",1432.199951,1439.699951,1432.199951,1437.900024,19,1437.900024
"2011-03-24",1437.699951,1446.900024,1437.5,1434.800049,27,1434.800049
"2011-03-25",1436,1436,1436,1426.099976,1,1426.099976
"2011-03-28",1413.199951,1415.599976,1413.199951,1419.800049,6,1419.800049
"2011-03-29",1416,1416,1416,1416,135792,1416
"2011-03-30",1418.699951,1430.300049,1412,1423.800049,47011,1423.800049
"2011-03-31",1423.300049,1440,1420.699951,1438.900024,8230,1438.900024
"2011-04-01",1433.400024,1436.5,1413,1428.099976,5318,1428.099976
"2011-04-04",1429.099976,1439.099976,1428.800049,1432.199951,683,1432.199951
"2011-04-05",1437.900024,1457.599976,1430.300049,1451.800049,2609,1451.800049
"2011-04-06",1456.900024,1462.300049,1452,1457.699951,901,1457.699951
"2011-04-07",1459.699951,1462.5,1453.900024,1458.5,229,1458.5
"2011-04-08",1457.599976,1475.5,1457.5,1473.400024,1407,1473.400024
"2011-04-11",1476,1476,1459.699951,1467.400024,378,1467.400024
"2011-04-12",1461.800049,1467.199951,1444.400024,1452.900024,345,1452.900024
"2011-04-13",1455,1462,1454,1454.900024,197,1454.900024
"2011-04-14",1456.800049,1476,1452.699951,1471.699951,535,1471.699951
"2011-04-15",1477.599976,1487.5,1473.199951,1485.300049,293,1485.300049
"2011-04-18",1486.300049,1497.300049,1477.5,1492.300049,650,1492.300049
"2011-04-19",1493.300049,1499.5,1489,1494.5,168,1494.5
"2011-04-20",1494,1505.300049,1494,1498.300049,386,1498.300049
"2011-04-21",1503.699951,1508.300049,1501.699951,1503.199951,237,1503.199951
"2011-04-25",1513.300049,1518,1502.800049,1508.599976,233,1508.599976
"2011-04-26",1501.5,1506.300049,1495,1503,223,1503
"2011-04-27",1507.099976,1512.800049,1505.199951,1516.699951,460,1516.699951
"2011-04-28",1528.599976,1536,1526.599976,1530.800049,425,1530.800049
"2011-04-29",1538.699951,1568.699951,1537.300049,1556,124,1556
"2011-05-02",1572.900024,1576.599976,1543.099976,1556.699951,200,1556.699951
"2011-05-03",1542.5,1547,1527.5,1540.099976,246,1540.099976
"2011-05-04",1535,1539,1506.199951,1514.900024,272,1514.900024
"2011-05-05",1514.699951,1520.699951,1471,1480.900024,133,1480.900024
"2011-05-06",1473.199951,1494.800049,1472.300049,1491.199951,144,1491.199951
"2011-05-09",1501.5,1512.800049,1501.300049,1502.900024,44,1502.900024
"2011-05-10",1508.400024,1516.900024,1508.400024,1516.599976,13,1516.599976
"2011-05-11",1524,1524.099976,1495.199951,1501.099976,30,1501.099976
"2011-05-12",1492.099976,1498.5,1484.800049,1506.599976,11,1506.599976
"2011-05-13",1503.5,1511.300049,1490.199951,1493.400024,16,1493.400024
"2011-05-16",1489.300049,1494.900024,1489.300049,1490.400024,10,1490.400024
"2011-05-17",1489.800049,1491.800049,1473,1479.800049,41,1479.800049
"2011-05-18",1496.400024,1497,1496.300049,1495.599976,82,1495.599976
"2011-05-19",1491.5,1491.5,1491.5,1492.199951,1,1492.199951
"2011-05-20",1499,1512.699951,1488.699951,1508.800049,93,1508.800049
"2011-05-23",1510.5,1512.300049,1507,1515.300049,42,1515.300049
"2011-05-24",1527.099976,1527.099976,1521.900024,1523.199951,4,1523.199951
"2011-05-25",1526.400024,1527.5,1526.099976,1526.599976,10,1526.599976
"2011-05-26",1521.199951,1521.199951,1519.5,1522.800049,186986,1522.800049
"2011-05-27",1519.400024,1538.5,1518.400024,1536.300049,76719,1536.300049
"2011-05-31",1536.699951,1541.099976,1532.400024,1535.900024,6152,1535.900024
"2011-06-01",1535.699951,1550.599976,1529.699951,1542.400024,2845,1542.400024
"2011-06-02",1541.300049,1544.5,1520,1532,1651,1532
"2011-06-03",1534.699951,1546.300049,1525,1541.699951,1745,1541.699951
"2011-06-06",1542.900024,1553.900024,1542,1546.5,691,1546.5
"2011-06-07",1545,1549.900024,1537.199951,1543.300049,2530,1543.300049
"2011-06-08",1544.199951,1544.199951,1531.300049,1538.099976,489,1538.099976
"2011-06-09",1536.099976,1548.800049,1534.400024,1542.099976,288,1542.099976
"2011-06-10",1543.699951,1543.900024,1526.400024,1528.599976,632,1528.599976
"2011-06-13",1528.099976,1533,1511.300049,1515,851,1515
"2011-06-14",1517.199951,1526.199951,1513.099976,1523.800049,306,1523.800049
"2011-06-15",1525,1533.400024,1515,1525.599976,648,1525.599976
"2011-06-16",1526,1531.199951,1522,1529.300049,164,1529.300049
"2011-06-17",1523,1541.599976,1523,1538.599976,72,1538.599976
"2011-06-20",1536,1545.699951,1535.199951,1541.5,99,1541.5
"2011-06-21",1540.099976,1547.5,1540,1546,125,1546
"2011-06-22",1547.199951,1558.5,1544.400024,1552.900024,222,1552.900024
"2011-06-23",1547.199951,1547.199951,1514.699951,1520.099976,300,1520.099976
"2011-06-24",1524.699951,1525,1498.5,1500.5,257,1500.5
"2011-06-27",1503.5,1503.5,1490.699951,1496,140,1496
"2011-06-28",1499.900024,1505,1496.099976,1499.699951,508,1499.699951
"2011-06-29",1504.099976,1512.199951,1504.099976,1509.900024,395,1509.900024
"2011-06-30",1511.5,1514,1498.800049,1502.300049,69,1502.300049
"2011-07-01",1502.199951,1502.199951,1480,1482.300049,66,1482.300049
"2011-07-05",1490.400024,1515,1490.300049,1512.300049,199,1512.300049
"2011-07-06",1513.699951,1531.5,1510.300049,1528.699951,71,1528.699951
"2011-07-07",1529.099976,1533.099976,1522.699951,1530.199951,55,1530.199951
"2011-07-08",1527,1542.599976,1526.599976,1541.199951,3,1541.199951
"2011-07-11",1550,1555.199951,1543.099976,1548.800049,14,1548.800049
"2011-07-12",1548.199951,1565,1542,1561.900024,8,1561.900024
"2011-07-13",1574,1585.599976,1570.800049,1585.199951,29,1585.199951
"2011-07-14",1586.300049,1592.800049,1583.599976,1589,19,1589
"2011-07-15",1582.300049,1592.199951,1582.300049,1589.800049,8,1589.800049
"2011-07-18",1592.800049,1605,1592.800049,1602.099976,13,1602.099976
"2011-07-19",1608.099976,1608.800049,1583.300049,1600.900024,63,1600.900024
"2011-07-20",1584.300049,1596.699951,1582.400024,1596.699951,9,1596.699951
"2011-07-21",1598,1601.599976,1586.599976,1586.800049,24,1586.800049
"2011-07-22",1588.5,1606.5,1588.5,1601.300049,12,1601.300049
"2011-07-25",1610,1619.400024,1610,1612,67,1612
"2011-07-26",1609.800049,1618.5,1609.800049,1616.599976,28,1616.599976
"2011-07-27",1619.699951,1619.699951,1617,1615,232220,1615
"2011-07-28",1614.199951,1620.599976,1602.800049,1613.400024,70263,1613.400024
"2011-07-29",1617.099976,1634.900024,1610.599976,1628.300049,6761,1628.300049
"2011-08-01",1623,1631.800049,1607,1619,2889,1619
"2011-08-02",1619.300049,1660.599976,1616.800049,1641.900024,2440,1641.900024
"2011-08-03",1659.900024,1672.300049,1651.599976,1663.400024,2024,1663.400024
"2011-08-04",1660.5,1681.800049,1640,1656.199951,1952,1656.199951
"2011-08-05",1647.5,1666.099976,1642.699951,1648.800049,825,1648.800049
"2011-08-08",1679.099976,1720,1678.099976,1710.199951,1885,1710.199951
"2011-08-09",1722.5,1779,1720.099976,1740,1861,1740
"2011-08-10",1744,1795.599976,1741.300049,1781.300049,969,1781.300049
"2011-08-11",1795.099976,1813.5,1733.300049,1748.800049,1503,1748.800049
"2011-08-12",1760.599976,1764.199951,1723.800049,1740.199951,1166,1740.199951
"2011-08-15",1734.900024,1765.199951,1730.5,1755.5,976,1755.5
"2011-08-16",1769,1787.300049,1761.599976,1782.400024,278,1782.400024
"2011-08-17",1784.800049,1794.300049,1782,1791.199951,231,1791.199951
"2011-08-18",1786.5,1828.5,1785.5,1818.900024,868,1818.900024
"2011-08-19",1823.699951,1874.400024,1823.699951,1848.900024,328,1848.900024
"2011-08-22",1868.599976,1895,1858.400024,1888.699951,1106,1888.699951
"2011-08-23",1909,1909.300049,1824.599976,1858.300049,458,1858.300049
"2011-08-24",1833,1853.099976,1753.099976,1754.099976,992,1754.099976
"2011-08-25",1748.400024,1772.5,1707.300049,1759.800049,864,1759.800049
"2011-08-26",1768.5,1829.300049,1768.5,1794.099976,270,1794.099976
"2011-08-29",1817.900024,1817.900024,1786.699951,1788.400024,828,1788.400024
"2011-08-30",1787.199951,1839.599976,1783.099976,1826.699951,598,1826.699951
"2011-08-31",1830.599976,1837.900024,1811.400024,1828.5,336,1828.5
"2011-09-01",1825.800049,1829.5,1814.400024,1826,263,1826
"2011-09-02",1828.599976,1884.199951,1828.599976,1873.699951,442,1873.699951
"2011-09-06",1886.300049,1911.599976,1864,1869.900024,536,1869.900024
"2011-09-07",1868.900024,1873.699951,1792.800049,1814.199951,470,1814.199951
"2011-09-08",1839.300049,1870,1835,1854.400024,142,1854.400024
"2011-09-09",1858.099976,1881.300049,1830,1856.400024,188,1856.400024
"2011-09-12",1852.400024,1852.400024,1806,1809.900024,245,1809.900024
"2011-09-13",1817.800049,1835.300049,1808.099976,1826.800049,52,1826.800049
"2011-09-14",1843,1843,1809,1823.5,156,1823.5
"2011-09-15",1816.300049,1816.300049,1775.800049,1778.5,80,1778.5
"2011-09-16",1768.5,1819.099976,1768.5,1812.099976,111,1812.099976
"2011-09-19",1814.699951,1818.900024,1788,1776.400024,13,1776.400024
"2011-09-20",1778.800049,1807.800049,1776,1806.599976,86,1806.599976
"2011-09-21",1808,1811.699951,1782.800049,1805.5,22,1805.5
"2011-09-22",1773.199951,1773.199951,1730.900024,1739.199951,23,1739.199951
"2011-09-23",1737.300049,1737.300049,1636.300049,1637.5,81,1637.5
"2011-09-26",1646.400024,1661.800049,1562.400024,1592.5,151,1592.5
"2011-09-27",1653.800049,1665.400024,1653.699951,1650.599976,47,1650.599976
"2011-09-28",1650,1650,1650,1616.300049,21275,1616.300049
"2011-09-29",1604,1633.800049,1585,1615.5,7181,1615.5
"2011-09-30",1620.800049,1639.400024,1609.400024,1620.400024,284,1620.400024
"2011-10-03",1627.800049,1660.800049,1627.599976,1656,101,1656
"2011-10-04",1661,1678.099976,1596.599976,1614.699951,159,1614.699951
"2011-10-05",1629.300049,1640.300049,1599.599976,1640.300049,114,1640.300049
"2011-10-06",1642.599976,1654.699951,1637.599976,1651.900024,38,1651.900024
"2011-10-07",1657,1665,1626.199951,1634.5,66,1634.5
"2011-10-10",1645.599976,1676.800049,1645.599976,1669.599976,61,1669.599976
"2011-10-11",1685,1685,1657.599976,1659.699951,151,1659.699951
"2011-10-12",1667.099976,1691,1667.099976,1681.300049,37,1681.300049
"2011-10-13",1676.099976,1678.800049,1656.199951,1667.300049,148,1667.300049
"2011-10-14",1665.800049,1683.300049,1665.800049,1681.800049,51,1681.800049
"2011-10-17",1683.599976,1693.5,1667.300049,1675.5,41,1675.5
"2011-10-18",1666,1666,1627.5,1651.699951,85,1651.699951
"2011-10-19",1659.300049,1659.300049,1641.300049,1646,22,1646
"2011-10-20",1643.199951,1643.199951,1608.699951,1611.900024,92,1611.900024
"2011-10-21",1626.099976,1647.400024,1626.099976,1635.099976,32,1635.099976
"2011-10-24",1646.199951,1657.800049,1646.199951,1651.5,313,1651.5
"2011-10-25",1645,1706.800049,1645,1699.599976,355,1699.599976
"2011-10-26",1717,1723.599976,1708.900024,1722.699951,135,1722.699951
"2011-10-27",1717.800049,1735.5,1717.800049,1746.699951,494,1746.699951
"2011-10-28",1752,1752,1733,1746.199951,158,1746.199951
"2011-10-31",1741.900024,1741.900024,1717,1724.199951,62,1724.199951
"2011-11-01",1706.699951,1720.099976,1682.5,1711,246,1711
"2011-11-02",1724.300049,1741.400024,1723.199951,1728.699951,294,1728.699951
"2011-11-03",1740.5,1766,1726.599976,1764.199951,290,1764.199951
"2011-11-04",1757,1761.199951,1754.900024,1755.300049,47,1755.300049
"2011-11-07",1755.300049,1797,1755.300049,1790.300049,35,1790.300049
"2011-11-08",1798.400024,1798.400024,1785.699951,1798.400024,14,1798.400024
"2011-11-09",1793,1793,1774.199951,1790.900024,6,1790.900024
"2011-11-10",1766.800049,1766.800049,1754.800049,1758.900024,16,1758.900024
"2011-11-11",1777,1789.099976,1777,1787.5,28,1787.5
"2011-11-14",1779,1779,1779,1777.800049,24,1777.800049
"2011-11-15",1779.199951,1783.099976,1761.300049,1781.699951,18,1781.699951
"2011-11-16",1777.5,1777.5,1757.699951,1773.800049,65,1773.800049
"2011-11-17",1755.300049,1755.300049,1714,1719.800049,54,1719.800049
"2011-11-18",1725,1736,1719,1724.699951,14,1724.699951
"2011-11-21",1704.599976,1704.599976,1674.400024,1678.300049,9,1678.300049
"2011-11-22",1675.400024,1702.199951,1675.400024,1702.199951,13,1702.199951
"2011-11-23",1691.199951,1700,1681.599976,1695.699951,34,1695.699951
"2011-11-25",1690.099976,1693.5,1675.300049,1685.5,28,1685.5
"2011-11-28",1710.800049,1710.800049,1710.800049,1710.800049,175525,1710.800049
"2011-11-29",1711.300049,1718.400024,1704,1713.400024,64786,1713.400024
"2011-11-30",1714,1749.199951,1699.900024,1745.5,15463,1745.5
"2011-12-01",1747,1753.300049,1734.5,1735.300049,1350,1735.300049
"2011-12-02",1744.800049,1762.900024,1741.599976,1747,1067,1747
"2011-12-05",1748.900024,1752.599976,1718.699951,1730.699951,756,1730.699951
"2011-12-06",1722.099976,1731.800049,1703,1727.900024,648,1727.900024
"2011-12-07",1730.599976,1741.900024,1720,1740.900024,300,1740.900024
"2011-12-08",1742,1752.300049,1705.400024,1709.800049,942,1709.800049
"2011-12-09",1713.300049,1720.699951,1705.699951,1712.800049,568,1712.800049
"2011-12-12",1707.5,1708.199951,1658.5,1664.199951,894,1664.199951
"2011-12-13",1654.699951,1671.800049,1628,1659.900024,274,1659.900024
"2011-12-14",1636.5,1639.5,1565.800049,1584.300049,890,1584.300049
"2011-12-15",1571.400024,1592.800049,1565.599976,1574.599976,589,1574.599976
"2011-12-16",1587.400024,1595.900024,1586,1595.599976,57,1595.599976
"2011-12-19",1596.400024,1603.400024,1589.699951,1594.400024,92,1594.400024
"2011-12-20",1596.400024,1617,1596.400024,1615.599976,215,1615.599976
"2011-12-21",1615.599976,1635,1608.300049,1611.900024,38,1611.900024
"2011-12-22",1608.800049,1610,1601.900024,1608.900024,599,1608.900024
"2011-12-23",1612,1612.800049,1604.699951,1604.699951,62,1604.699951
"2011-12-27",1599,1599,1592.599976,1594.199951,52,1594.199951
"2011-12-28",1584.900024,1588.599976,1561.300049,1562.900024,763,1562.900024
"2011-12-29",1559.300049,1559.300049,1525,1539.900024,866,1539.900024
"2011-12-30",1549.400024,1579.5,1547.900024,1565.800049,289,1565.800049
"2012-01-03",1568.900024,1604.300049,1566,1599.699951,229,1599.699951
"2012-01-04",1596.599976,1618.599976,1594.5,1611.900024,172,1611.900024
"2012-01-05",1610.800049,1624.099976,1597.800049,1619.400024,362,1619.400024
"2012-01-06",1622.5,1627.800049,1616.099976,1616.099976,20,1616.099976
"2012-01-09",1614.300049,1620.099976,1607.5,1607.5,8,1607.5
"2012-01-10",1619.900024,1638,1619.900024,1631,47,1631
"2012-01-11",1634.800049,1645.400024,1633.800049,1639.199951,65,1639.199951
"2012-01-12",1645.199951,1656.099976,1645.199951,1647.300049,84,1647.300049
"2012-01-13",1638.900024,1643.400024,1630.400024,1630.400024,368,1630.400024
"2012-01-17",1643.699951,1657.800049,1642.099976,1655.199951,16,1655.199951
"2012-01-18",1654,1660.300049,1654,1659.5,11,1659.5
"2012-01-19",1663,1664.400024,1653.5,1654.099976,58,1654.099976
"2012-01-20",1652.800049,1664.300049,1652.800049,1663.699951,8,1663.699951
"2012-01-23",1676.900024,1680,1669.900024,1678,10,1678
"2012-01-24",1666.900024,1668.199951,1664.199951,1664.199951,5,1664.199951
"2012-01-25",1673,1706.199951,1672,1699.800049,239,1699.800049
"2012-01-26",1729,1729,1721,1726.300049,16,1726.300049
"2012-01-27",1727,1734.099976,1727,1731.800049,175023,1731.800049
"2012-01-30",1737.199951,1739.900024,1715.699951,1731,53427,1731
"2012-01-31",1731.699951,1747.699951,1725,1737.800049,7540,1737.800049
"2012-02-01",1738.199951,1751.099976,1734,1747.099976,2027,1747.099976
"2012-02-02",1745.099976,1761.099976,1742.900024,1756.800049,2062,1756.800049
"2012-02-03",1758.699951,1761.300049,1724.5,1737.900024,543,1737.900024
"2012-02-06",1728,1738.300049,1713.300049,1722.800049,726,1722.800049
"2012-02-07",1722,1748,1713.199951,1746.400024,272,1746.400024
"2012-02-08",1744,1751.5,1728.199951,1729.300049,955,1729.300049
"2012-02-09",1731.400024,1749.699951,1726.099976,1739,119,1739
"2012-02-10",1732.699951,1734.400024,1706.400024,1723.300049,248,1723.300049
"2012-02-13",1725,1733,1718.400024,1723,104,1723
"2012-02-14",1720,1724.900024,1715,1715.900024,94,1715.900024
"2012-02-15",1723.599976,1737,1723.599976,1726.300049,110,1726.300049
"2012-02-16",1718.400024,1728.400024,1707,1726.800049,38,1726.800049
"2012-02-17",1733.599976,1735.099976,1718.800049,1724.5,80,1724.5
"2012-02-21",1736.099976,1760,1733.599976,1757.099976,115,1757.099976
"2012-02-22",1758.699951,1781.900024,1750,1770,161,1770
"2012-02-23",1774,1786,1773,1784.900024,298,1784.900024
"2012-02-24",1778.5,1780.699951,1771.300049,1775.099976,129,1775.099976
"2012-02-27",1773.599976,1775.599976,1768.099976,1773.599976,841,1773.599976
"2012-02-28",1767.900024,1789.400024,1767.900024,1787,306,1787
"2012-02-29",1789.900024,1790.400024,1669,1709.900024,359,1709.900024
"2012-03-01",1698.599976,1724.599976,1698.599976,1721.099976,214,1721.099976
"2012-03-02",1723,1723,1705.199951,1708.800049,135,1708.800049
"2012-03-05",1705.5,1709.5,1695.400024,1703,421,1703
"2012-03-06",1708.699951,1708.699951,1666,1671.400024,176,1671.400024
"2012-03-07",1676,1684,1673.099976,1683.300049,39,1683.300049
"2012-03-08",1686.400024,1702.400024,1686.400024,1698.099976,301,1698.099976
"2012-03-09",1698.800049,1710.900024,1680.699951,1710.900024,73,1710.900024
"2012-03-12",1708.099976,1708.099976,1694.900024,1699.199951,98,1699.199951
"2012-03-13",1698.400024,1698.400024,1685.099976,1693.699951,47,1693.699951
"2012-03-14",1676.900024,1681,1637.400024,1642.5,201,1642.5
"2012-03-15",1646.300049,1660.199951,1640,1659.099976,405,1659.099976
"2012-03-16",1660,1661.400024,1641.300049,1655.5,317,1655.5
"2012-03-19",1661.199951,1668,1652.099976,1666.900024,462,1666.900024
"2012-03-20",1648.099976,1652.300049,1642,1646.699951,250,1646.699951
"2012-03-21",1657.800049,1660,1646.099976,1650,546,1650
"2012-03-22",1648,1649.400024,1633.800049,1642.300049,321,1642.300049
"2012-03-23",1652.5,1665.099976,1646.300049,1662.300049,76,1662.300049
"2012-03-26",1665,1692.900024,1657.800049,1685.5,84,1685.5
"2012-03-27",1687.800049,1690.800049,1684.400024,1684.800049,100,1684.800049
"2012-03-28",1670.099976,1670.099976,1657.900024,1657.900024,193107,1657.900024
"2012-03-29",1661.800049,1664.5,1644.300049,1652.199951,47342,1652.199951
"2012-03-30",1660.599976,1670,1659,1669.300049,9825,1669.300049
"2012-04-02",1670.400024,1682.800049,1662,1677.5,2531,1677.5
"2012-04-03",1677.599976,1679.5,1638.699951,1670,1165,1670
"2012-04-04",1646.5,1647,1612.300049,1612.300049,1122,1612.300049
"2012-04-05",1620.800049,1633.199951,1620.400024,1628.5,289,1628.5
"2012-04-09",1645.300049,1646.400024,1636.5,1642.5,158,1642.5
"2012-04-10",1649,1661.699951,1636.199951,1659.5,350,1659.5
"2012-04-11",1654.800049,1659.699951,1654.699951,1659,426,1659
"2012-04-12",1660,1680.099976,1650,1679.5,1309,1679.5
"2012-04-13",1673.300049,1674.800049,1650,1659.099976,220,1659.099976
"2012-04-16",1650.800049,1656.800049,1641.199951,1648.699951,717,1648.699951
"2012-04-17",1652,1652.900024,1637,1650.300049,69,1650.300049
"2012-04-18",1653.199951,1653.300049,1638.099976,1638.800049,273,1638.800049
"2012-04-19",1642.099976,1653.099976,1632,1640.599976,77,1640.599976
"2012-04-20",1641.699951,1645.599976,1640.900024,1642.099976,54,1642.099976
"2012-04-23",1642.400024,1642.400024,1625.099976,1631.900024,226,1631.900024
"2012-04-24",1634.400024,1648.599976,1634.400024,1643,123,1643
"2012-04-25",1641.300049,1643.800049,1626.900024,1641.400024,82,1641.400024
"2012-04-26",1658.300049,1659.599976,1658.300049,1659.599976,280,1659.599976
"2012-04-27",1654.5,1666.900024,1654,1664,236,1664
"2012-04-30",1663,1665.699951,1653,1663.400024,36,1663.400024
"2012-05-01",1665,1670.5,1661.699951,1661.699951,25,1661.699951
"2012-05-02",1659.199951,1659.199951,1648.300049,1653.400024,50,1653.400024
"2012-05-03",1651.199951,1652.199951,1631.300049,1634.199951,78,1634.199951
"2012-05-04",1635.699951,1645.599976,1629.400024,1644.699951,68,1644.699951
"2012-05-07",1637.900024,1640,1632.599976,1638.599976,21,1638.599976
"2012-05-08",1636.699951,1636.699951,1596,1604,154,1604
"2012-05-09",1595.300049,1595.300049,1586.300049,1593.699951,30,1593.699951
"2012-05-10",1594.199951,1595.099976,1592.400024,1595.099976,6,1595.099976
"2012-05-11",1586.099976,1589.599976,1583.599976,1583.599976,6,1583.599976
"2012-05-14",1563,1563.099976,1555.5,1560.599976,5,1560.599976
"2012-05-15",1555.400024,1558.300049,1542.400024,1556.800049,28,1556.800049
"2012-05-16",1541.400024,1541.400024,1528.5,1536.199951,26,1536.199951
"2012-05-17",1546.900024,1579,1546.900024,1574.5,51,1574.5
"2012-05-18",1573.699951,1591.599976,1568.199951,1591.599976,26,1591.599976
"2012-05-21",1591.900024,1594.099976,1588.400024,1588.400024,32,1588.400024
"2012-05-22",1575.699951,1578.099976,1568.400024,1576.300049,27,1576.300049
"2012-05-23",1538.199951,1548.099976,1534.400024,1548.099976,6,1548.099976
"2012-05-24",1559,1569.400024,1551.5,1557.300049,23,1557.300049
"2012-05-25",1558.199951,1568.800049,1557.300049,1568.800049,7,1568.800049
"2012-05-29",1574.699951,1582.5,1548.599976,1548.599976,259050,1548.599976
"2012-05-30",1553.900024,1569,1530.400024,1563.400024,79887,1563.400024
"2012-05-31",1562.699951,1572.599976,1551.800049,1562.599976,5901,1562.599976
"2012-06-01",1560,1630,1545.5,1620.5,2820,1620.5
"2012-06-04",1623,1627.900024,1609,1612.199951,2134,1612.199951
"2012-06-05",1619.300049,1622.699951,1612.900024,1615.199951,604,1615.199951
"2012-06-06",1619.699951,1639.699951,1616.5,1632.800049,419,1632.800049
"2012-06-07",1622.599976,1627.199951,1581.900024,1586.599976,1200,1586.599976
"2012-06-08",1589.900024,1593.900024,1566.5,1590.099976,157,1590.099976
"2012-06-11",1608,1608,1583,1595.5,129,1595.5
"2012-06-12",1594.099976,1612.800049,1588.5,1612.699951,523,1612.699951
"2012-06-13",1608.199951,1622.400024,1608.199951,1618.099976,655,1618.099976
"2012-06-14",1621.199951,1626.400024,1610.099976,1618.400024,493,1618.400024
"2012-06-15",1624.300049,1630,1621.5,1627,1015,1627
"2012-06-18",1622.599976,1627.599976,1615,1625.699951,246,1625.699951
"2012-06-19",1629.800049,1630.699951,1622,1622.199951,32,1622.199951
"2012-06-20",1618.300049,1618.300049,1601.300049,1614.800049,140,1614.800049
"2012-06-21",1603.199951,1603.300049,1564.5,1564.5,29,1564.5
"2012-06-22",1565.5,1568.400024,1560,1566,16,1566
"2012-06-25",1574.900024,1587.5,1571,1587.5,32,1587.5
"2012-06-26",1583.5,1583.5,1567.699951,1574,104,1574
